0.395 0.007 {'n_estimators': 15, 'max_depth': 45}
0.400 0.011 {'n_estimators': 20, 'max_depth': 45}
0.403 0.007 {'n_estimators': 25, 'max_depth': 45}
0.409 0.008 {'n_estimators': 30, 'max_depth': 45}
0.409 0.009 {'n_estimators': 35, 'max_depth': 45}
0.412 0.009 {'n_estimators': 40, 'max_depth': 45}
0.408 0.006 {'n_estimators': 45, 'max_depth': 45}
0.385 0.012 {'n_estimators': 10, 'max_depth': 46}
0.398 0.010 {'n_estimators': 15, 'max_depth': 46}
0.400 0.005 {'n_estimators': 20, 'max_depth': 46}
0.405 0.008 {'n_estimators': 25, 'max_depth': 46}
0.401 0.007 {'n_estimators': 30, 'max_depth': 46}
0.410 0.010 {'n_estimators': 35, 'max_depth': 46}
0.410 0.006 {'n_estimators': 40, 'max_depth': 46}
0.412 0.008 {'n_estimators': 45, 'max_depth': 46}
0.383 0.012 {'n_estimators': 10, 'max_depth': 47}
0.395 0.007 {'n_estimators': 15, 'max_depth': 47}
0.402 0.011 {'n_estimators': 20, 'max_depth': 47}
0.404 0.004 {'n_estimators': 25, 'max_depth': 47}
0.408 0.004 {'n_estimators': 30, 'max_depth': 47}
0.409 0.006 {'n_estimators': 35, 'max_depth': 47}
0.413 0.010 {'n_estimators': 40, 'max_depth': 47}
0.412 0.007 {'n_estimators': 45, 'max_depth': 47}
0.381 0.008 {'n_estimators': 10, 'max_depth': 48}
0.393 0.008 {'n_estimators': 15, 'max_depth': 48}
0.399 0.011 {'n_estimators': 20, 'max_depth': 48}
0.403 0.009 {'n_estimators': 25, 'max_depth': 48}
0.408 0.006 {'n_estimators': 30, 'max_depth': 48}
0.412 0.006 {'n_estimators': 35, 'max_depth': 48}
0.410 0.013 {'n_estimators': 40, 'max_depth': 48}
0.419 0.006 {'n_estimators': 45, 'max_depth': 48}
0.378 0.004 {'n_estimators': 10, 'max_depth': 49}
0.398 0.011 {'n_estimators': 15, 'max_depth': 49}
0.401 0.007 {'n_estimators': 20, 'max_depth': 49}
0.410 0.008 {'n_estimators': 25, 'max_depth': 49}
0.410 0.007 {'n_estimators': 30, 'max_depth': 49}
0.412 0.005 {'n_estimators': 35, 'max_depth': 49}
0.413 0.006 {'n_estimators': 40, 'max_depth': 49}
0.417 0.006 {'n_estimators': 45, 'max_depth': 49}
0.382 0.009 {'n_estimators': 10, 'max_depth': 50}
0.401 0.005 {'n_estimators': 15, 'max_depth': 50}
0.400 0.009 {'n_estimators': 20, 'max_depth': 50}
0.404 0.008 {'n_estimators': 25, 'max_depth': 50}
0.411 0.008 {'n_estimators': 30, 'max_depth': 50}
0.414 0.005 {'n_estimators': 35, 'max_depth': 50}
0.413 0.007 {'n_estimators': 40, 'max_depth': 50}
0.417 0.008 {'n_estimators': 45, 'max_depth': 50}
